#BLACKandWHITEAnimationBankIds			Status : Normal	2/1/2001 13:28

#Comments are courtesy of herolich1	
					
			 		
DETAIL_MESH_TYPES	Value				
MSH_DUMMY	0				
MSH_A_BAT_1	1				
MSH_A_BAT_2	2				
MSH_A_CROW_1	3				
MSH_A_CROW_2	4				
MSH_A_DOVE_1	5				
MSH_A_DOVE_2	6				
MSH_A_PIGEON_1	7				
MSH_A_PIGEON_2	8				
MSH_A_SEAGULL_1	9				
MSH_A_SEAGULL_2	10				
MSH_A_SPELL_DOVE	11				
MSH_A_SWALLOW_1	12			
MSH_A_SWALLOW_2	13			
MSH_A_VULTURE_1	14			
MSH_A_VULTURE_2	15			
MSH_A_COW_1	16			 
MSH_A_COW_2	17			
MSH_A_COW_3	18			
MSH_A_HORSE_1	19			
MSH_A_HORSE_2	20			
MSH_A_HORSE_3	21			
MSH_A_LEOPARD_1	22			
MSH_A_LEOPARD_2	23			
MSH_A_LEOPARD_3	24			
MSH_A_LION_1	25			
MSH_A_LION_2	26			
MSH_A_LION_3	27			
MSH_A_PIG_1	28
MSH_A_PIG_2	29
MSH_A_PIG_3	30
MSH_SHARK_BONED	31
MSH_A_SHEEP_1	32
MSH_A_SHEEP_2	33
MSH_A_SHEEP_3	34
MSH_A_TIGER_1	35
MSH_A_TIGER_2	36
MSH_A_TIGER_3	37
MSH_A_TORTOISE_1	38
MSH_A_TORTOISE_2	39
MSH_A_TORTOISE_3	40
MSH_A_WOLF_1	41
MSH_A_WOLF_2	42
MSH_A_WOLF_3	43
MSH_A_ZEBRA_1	44
MSH_A_ZEBRA_2	45
MSH_A_ZEBRA_3	46
MSH_B_AMCN_1	47
MSH_B_AMCN_1_A	48
MSH_B_AMCN_2	49
MSH_B_AMCN_2_A	50
MSH_B_AMCN_3	51
MSH_B_AMCN_3_A	52
MSH_B_AMCN_4	53
MSH_B_AMCN_5	54
MSH_B_AMCN_CRECHE	55
MSH_B_AMCN_FENCE	56
MSH_B_AMCN_GRAVEYARD	57
MSH_B_AMCN_TOTEM	58
MSH_B_AMCN_WONDER	59
MSH_B_AMCN_WORKSHOP	60
MSH_B_AZTC_1	61
MSH_B_AZTC_2	62
MSH_B_AZTC_3	63
MSH_B_AZTC_4	64
MSH_B_AZTC_5	65
MSH_B_AZTC_CRECHE	66
MSH_B_AZTC_GRAVEYARD	67
MSH_B_AZTC_OLMECHEAD	68
MSH_B_AZTC_STATUE	69
MSH_B_AZTC_TEMPLE	70
MSH_B_AZTC_TOTEM	71
MSH_B_AZTC_WONDER	72
MSH_B_AZTC_WORKSHOP	73
MSH_B_CELT_1	74
MSH_B_CELT_2	75
MSH_B_CELT_3	76
MSH_B_CELT_4	77
MSH_B_CELT_5	78
MSH_B_CELT_5A	79
MSH_B_CELT_CRECHE	80
MSH_B_CELT_FENCE_SHORT	81
MSH_B_CELT_FENCE_TALL	82
MSH_B_CELT_GRAVEYARD	83
MSH_B_CELT_GRAVE_01	84
MSH_B_CELT_GRAVE_02	85
MSH_B_CELT_GRAVE_03	86
MSH_B_CELT_TOTEM	87
MSH_B_CELT_WALLGATE_SPELL	88
MSH_B_CELT_WALLTOWER_SPELL	89
MSH_B_CELT_WALL_SPELL	90
MSH_B_CELT_WONDER	91
MSH_B_CELT_WORKSHOP	92
MSH_B_CITADEL_AMCN_ALTAR	93
MSH_B_CITADEL_AZTC_ALTAR	94
MSH_B_CITADEL_CELT_ALTAR	95
MSH_B_CITADEL_DESIRE_HUNGRY	96
MSH_B_CITADEL_DESIRE_SLEEP	97
MSH_B_CITADEL_EGPT_ALTAR	98
MSH_B_CITADEL_GREK_ALTAR	99
MSH_B_CITADEL_JAPN_ALTAR	100
MSH_B_CITADEL_NORS_ALTAR	101
MSH_B_CITADEL_POP_COUNTER_BEAD	102
MSH_B_CITADEL_TIBT_ALTAR	103
MSH_B_EGPT_1	104
MSH_B_EGPT_1_A	105
MSH_B_EGPT_2	106
MSH_B_EGPT_2_A	107
